PersonID,FullName,LogonName,HashedPassword,IsSystemUser,IsEmployee,IsSalesperson,PhoneNumber,EmailAddress
1,"Data Conversion Only","NO LOGON",NULL,0,0,0,NULL,NULL
2,"Kayla Woodcock",kaylaw@wideworldimporters.com,0x616E9B558976525E7F14D780EBAE80C68586958DC97C506DB418E2E2C49E340E,1,1,1,"(415) 555-0102",kaylaw@wideworldimporters.com
3,"Hudson Onslow",hudsono@wideworldimporters.com,0x23668CCC579015EA934736C3D7B87E86360EB5EEE164C4368A7B103C11E3436E,1,1,1,"(415) 555-0102",hudsono@wideworldimporters.com
4,"Isabella Rupp",isabellar@wideworldimporters.com,0xB45E7C4E37C32FA9A5A3161B9DB1C9C1E787BB7DB424E7FD7A20895D4BFB5D31,1,1,0,"(415) 555-0102",isabellar@wideworldimporters.com
5,"Eva Muirden",evam@wideworldimporters.com,0xE682D36E43B6A3940ED6428B2DE3CEEDD1763C5E0EC02FFBDC35671F9B3E5F3A,1,1,0,"(415) 555-0102",evam@wideworldimporters.com
6,"Sophia Hinton",sophiah@wideworldimporters.com,0x451BB10A515F06331540DB392031F9D9BC4EF536A1F86D1CA6C7394556BAA3C0,1,1,1,"(415) 555-0102",sophiah@wideworldimporters.com
7,"Amy Trefl",amyt@wideworldimporters.com,0x7A92BBEA830C5ED027DCC1D710130EED9EA50FB3E6D5F793DDEFC4B50215033F,1,1,1,"(415) 555-0102",amyt@wideworldimporters.com
8,"Anthony Grosse",anthonyg@wideworldimporters.com,0x2FD8B838A3C77778C990F464073AA23C0EEE019763ED6A99C77457E8691819DE,1,1,1,"(415) 555-0102",anthonyg@wideworldimporters.com
9,"Alica Fatnowna",alicaf@wideworldimporters.com,0x7DFAB08E9AC574C5B15CF19D18E5B3EB466EAC7392F4295815B08221E78EA790,1,1,0,"(415) 555-0102",alicaf@wideworldimporters.com
10,"Stella Rosenhain",stellar@wideworldimporters.com,0x1BA4B55887E2BDCB06087A20E1CC608ADDCA538BABEC0441D2D6704DCAFE2EA4,1,1,0,"(415) 555-0102",stellar@wideworldimporters.com
11,"Ethan Onslow",ethano@wideworldimporters.com,0xD70F37F5C019499959DDF987E5343B957FEB58959A0270E06919D47F2E84D409,1,1,0,"(415) 555-0102",ethano@wideworldimporters.com
12,"Henry Forlonge",henryf@wideworldimporters.com,0x3F74BAD95BD9059EFCF80F983899E24369959FD488113AA2D7616823A91659CF,1,1,0,"(415) 555-0102",henryf@wideworldimporters.com
13,"Hudson Hollinworth",hudsonh@wideworldimporters.com,0x4AC0A24180C54F425AC88CA33B62136A37B6AAA1943BEA14FC34E228ECCC35C4,1,1,1,"(415) 555-0102",hudsonh@wideworldimporters.com
14,"Lily Code",lilyc@wideworldimporters.com,0xD00658893B3F96277088B3C71DCFBF4DF6E3947EEDBF0C8DA285EFD5C7D4BADD,1,1,1,"(415) 555-0102",lilyc@wideworldimporters.com
15,"Taj Shand",tajs@wideworldimporters.com,0x9AEFEEC0DBB0EA6B25F0EB99C62C724F18428D45799DCD8A7B63B859B0F8FCB4,1,1,1,"(415) 555-0102",tajs@wideworldimporters.com
16,"Archer Lamble",archerl@wideworldimporters.com,0x06187F68631295411B022C48B07338F20F4C5C73B31DB67C056C0AE07B8F6EF6,1,1,1,"(415) 555-0102",archerl@wideworldimporters.com
17,"Piper Koch",piperk@wideworldimporters.com,0x61D8D0828E55E8895E216B88FE98CBA6B5940992279D74992AAA2563F4E66715,1,1,0,"(415) 555-0102",piperk@wideworldimporters.com
