CustomerID,CustomerName,PrimaryContactPersonID,AlternateContactPersonID,PhoneNumber,WebsiteURL,DeliveryAddressLine1,DeliveryAddressLine2
1,Tailspin Toys (Head Office),1001,1002,(308) 555-0100,http://www.tailspintoys.com,Shop 38,1877 Mittal Road
2,"Tailspin Toys (Sylvanite, MT)",1003,1004,(406) 555-0100,http://www.tailspintoys.com/Sylvanite,Shop 245,705 Dita Lane
3,"Tailspin Toys (Peeples Valley, AZ)",1005,1006,(480) 555-0100,http://www.tailspintoys.com/PeeplesValley,Unit 217,1970 Khandke Road
4,"Tailspin Toys (Medicine Lodge, KS)",1007,1008,(316) 555-0100,http://www.tailspintoys.com/MedicineLodge,Suite 164,967 Riutta Boulevard
5,"Tailspin Toys (Gasport, NY)",1009,1010,(212) 555-0100,http://www.tailspintoys.com/Gasport,Unit 176,1674 Skujins Boulevard
6,"Tailspin Toys (Jessie, ND)",1011,1012,(701) 555-0100,http://www.tailspintoys.com/Jessie,Shop 196,483 Raut Lane
7,"Tailspin Toys (Frankewing, TN)",1013,1014,(423) 555-0100,http://www.tailspintoys.com/Frankewing,Shop 27,904 Kellnerova Street
8,"Tailspin Toys (Bow Mar, CO)",1015,1016,(303) 555-0100,http://www.tailspintoys.com/BowMar,Shop 282,752 Shaker Doust Boulevard
9,"Tailspin Toys (Netcong, NJ)",1017,1018,(201) 555-0100,http://www.tailspintoys.com/Netcong,Shop 33,25 Kasesalu Street
10,"Tailspin Toys (Wimbledon, ND)",1019,1020,(701) 555-0100,http://www.tailspintoys.com/Wimbledon,Unit 67,372 Joo Lane
11,"Tailspin Toys (Devault, PA)",1021,1022,(215) 555-0100,http://www.tailspintoys.com/Devault,Unit 250,1432 Pullela Street
12,"Tailspin Toys (Biscay, MN)",1023,1024,(218) 555-0100,http://www.tailspintoys.com/Biscay,Suite 67,413 Keskkula Lane
13,"Tailspin Toys (Stonefort, IL)",1025,1026,(217) 555-0100,http://www.tailspintoys.com/Stonefort,Suite 185,1492 Shah Road
14,"Tailspin Toys (Long Meadow, MD)",1027,1028,(240) 555-0100,http://www.tailspintoys.com/LongMeadow,Unit 221,151 Vasiljevic Road
15,"Tailspin Toys (Batson, TX)",1029,1030,(210) 555-0100,http://www.tailspintoys.com/Batson,Shop 124,671 Mudigonda Boulevard
16,"Tailspin Toys (Coney Island, MO)",1031,1032,(314) 555-0100,http://www.tailspintoys.com/ConeyIsland,Suite 111,27 Vidovic Boulevard
17,"Tailspin Toys (East Fultonham, OH)",1033,1034,(216) 555-0100,http://www.tailspintoys.com/EastFultonham,Unit 278,224 Hinojosa Road
18,"Tailspin Toys (Goffstown, NH)",1035,1036,(603) 555-0100,http://www.tailspintoys.com/Goffstown,Unit 166,1822 Gruber Lane
19,"Tailspin Toys (Lemeta, AK)",1037,1038,(907) 555-0100,http://www.tailspintoys.com/Lemeta,Unit 174,1507 Izmaylov Crescent
20,"Tailspin Toys (College Place, WA)",1039,1040,(206) 555-0100,http://www.tailspintoys.com/CollegePlace,Shop 151,1536 Bhutia Avenue
21,"Tailspin Toys (Tresckow, PA)",1041,1042,(215) 555-0100,http://www.tailspintoys.com/Tresckow,Shop 147,640 Chakraborty Street
22,"Tailspin Toys (Ward Ridge, FL)",1043,1044,(239) 555-0100,http://www.tailspintoys.com/WardRidge,Shop 26,73 Berg Crescent
23,"Tailspin Toys (Ikatan, AK)",1045,1046,(907) 555-0100,http://www.tailspintoys.com/Ikatan,Unit 300,1467 Chang Lane
24,"Tailspin Toys (Dundarrach, NC)",1047,1048,(252) 555-0100,http://www.tailspintoys.com/Dundarrach,Shop 181,818 Paulet Avenue
25,"Tailspin Toys (Avenal, CA)",1049,1050,(209) 555-0100,http://www.tailspintoys.com/Avenal,Shop 37,1143 Caune Crescent
26,"Tailspin Toys (Hedrick, IA)",1051,1052,(319) 555-0100,http://www.tailspintoys.com/Hedrick,Shop 119,1022 Folliero Street
27,"Tailspin Toys (Bowlus, MN)",1053,1054,(218) 555-0100,http://www.tailspintoys.com/Bowlus,Shop 13,575 Pandit Crescent
28,"Tailspin Toys (North Ridge, NY)",1055,1056,(212) 555-0100,http://www.tailspintoys.com/NorthRidge,Unit 40,890 Hlouskova Avenue
29,"Tailspin Toys (Eulaton, AL)",1057,1058,(205) 555-0100,http://www.tailspintoys.com/Eulaton,Shop 16,1606 Ahmadian Road
30,"Tailspin Toys (Koontzville, WA)",1059,1060,(206) 555-0100,http://www.tailspintoys.com/Koontzville,Suite 144,1907 Naicker Boulevard
31,"Tailspin Toys (Lake Stevens, WA)",1061,1062,(206) 555-0100,http://www.tailspintoys.com/LakeStevens,Shop 238,1584 Hadrabova Street
32,"Tailspin Toys (Maypearl, TX)",1063,1064,(210) 555-0100,http://www.tailspintoys.com/Maypearl,Suite 157,1119 Friar Boulevard
33,"Tailspin Toys (Boyden Arbor, SC)",1065,1066,(803) 555-0100,http://www.tailspintoys.com/BoydenArbor,Shop 151,799 Karnik Boulevard
34,"Tailspin Toys (Dallardsville, TX)",1067,1068,(210) 555-0100,http://www.tailspintoys.com/Dallardsville,Unit 103,1734 Jovicevic Crescent
35,"Tailspin Toys (Slanesville, WV)",1069,1070,(304) 555-0100,http://www.tailspintoys.com/Slanesville,Suite 150,1959 Sarma Road
36,"Tailspin Toys (Ekron, KY)",1071,1072,(270) 555-0100,http://www.tailspintoys.com/Ekron,Shop 2,155 Goransson Lane
37,"Tailspin Toys (Kerby, OR)",1073,1074,(458) 555-0100,http://www.tailspintoys.com/Kerby,Unit 16,339 Dwivedi Lane
